[20240107] 24レース
  202[20240107] +7R (累計31R)
[20240108] +24R (累計55R)
curl: (7) Failed to connect to 127.0.0.1 port 36917 after 0 ms: Couldn't connect to server
11R 14頭 OK (4件目)
  202410010503 小倉3R 11頭 OK (188件目)
  202410010504 小倉4R 12頭 OK (189件目)
  202410010505 小倉5R 13頭 OK (190件目)
  202410010506 小倉6R 14頭 OK (191件目)
  202410010507 小倉7R 16頭 OK (192件目)
  202410010508 小倉8R 14頭 OK (193件目)
  202410010509 小倉9R 14頭 OK (194件目)
  202410010510 小倉10R 16頭 OK (195件目)
  202410010511 小倉11R 10頭 OK (196件目)
  202410010512 小倉12R 18頭 OK (197件目)
[20240128] 36レース
  202405010201 東京1R 16頭 OK (198件目)
  202405010202 東京2R 16頭 OK (199件目)
  202405010203 東京3R 16頭 OK (200件目)
  202405010204 東京4R 14頭 OK (201件目)
  202405010205 東京5R 16頭 OK (202件目)
  202405010206 東京6R 16頭 OK (203件目)
  202405010207 東京7R 14頭 OK (204件目)
  202405010208 東京8R 16頭 OK (205件目)
  202405010209 東京9R 9頭 OK (206件目)
  202405010210 東京10R 14頭 OK (207件目)
  202405010211 東京11R 16頭 OK (208件目)
  202405010212 東京12R 11頭 OK (209件目)
  202408020201 京都1R 15頭 OK (210件目)
  202408020202 京都2R 11頭 OK (211件目)
  202408020203 京都3R 16頭 OK (212件目)
  202408020204 京都4R 13頭 OK (213件目)
  202408020205 京都5R 13頭 OK (214件目)
  202408020206 京都6R 10頭 OK (215件目)
  202408020207 京都7R 10頭 OK (216件目)
  202408020208 京都8R 16頭 OK (217件目)
  202408020209 京都9R 11頭 OK (218件目)
  202408020210 京都10R 12頭 OK (219件目)
  202408020211 京都11R 18頭 OK (220件目)
  202408020212 京都12R 9頭 OK (221件目)
  202410010601 小倉1R 11頭 OK (222件目)
  202410010602 小倉2R 16頭 OK (223件目)
  202410010603 小倉3R 14頭 OK (224件目)
  202410010604 小倉4R 12頭 OK (225件目)
  202410010605 小倉5R 14頭 OK (226件目)
  202410010606 小倉6R 15頭 OK (227件目)
  202410010607 小倉7R 14頭 OK (228件目)
  202410010608 小倉8R 14頭 OK (229件目)
  202410010609 小倉9R 10頭 OK (230件目)
  202410010610 小倉10R 16頭 OK (231件目)
  202410010611 小倉11R 18頭 OK (232件目)
  202410010612 小倉12R 13頭 OK (233件目)
[20240203] 36レース
  202405010301 東京1R 16頭 OK (234件目)
  202405010302 東京2R 16頭 OK (235件目)
  202405010303 東京3R 16頭 OK (236件目)
  202405010304 東京4R 8頭 OK (237件目)
  202405010305 東京5R 16頭 OK (238件目)
  202405010306 東京6R 13頭 OK (239件目)
  202405010307 東京7R 13頭 OK (240件目)
  202405010308 東京8R 16頭 OK (241件目)
  202405010309 東京9R 8頭 OK (242件目)
  202405010310 東京10R 15頭 OK (243件目)
  202405010311 東京11R 12頭 OK (244件目)
  202405010312 東京12R 16頭 OK (245件目)
  202408020301 京都1R 12頭 OK (246件目)
  202408020302 京都2R 9頭 OK (247件目)
  202408020303 京都3R 14頭 OK (248件目)
  202408020304 京都4R 16頭 OK (249件目)
