| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| CONFIRM | 複勝 | model | iso | exp | top20 | 2888 | 344 | 67.6 | 54.8 | 1.60 | 11.9110% | 0.198941 | 0.183977 |
| CONFIRM | 複勝 | blend | raw | exp | top1 | 3 | 1 | 33.3 | 33.3 | 1.03 | 33.3330% | 0.818660 | 0.888889 |
| CONFIRM | 複勝 | blend | raw | exp | top3 | 3 | 1 | 33.3 | 33.3 | 1.03 | 33.3330% | 0.818660 | 0.888889 |
| CONFIRM | 複勝 | blend | raw | exp | top5 | 3 | 1 | 33.3 | 33.3 | 1.03 | 33.3330% | 0.818660 | 0.888889 |
| CONFIRM | 複勝 | blend | raw | exp | top10 | 3 | 1 | 33.3 | 33.3 | 1.03 | 33.3330% | 0.818660 | 0.888889 |
| CONFIRM | 複勝 | blend | raw | exp | top20 | 3 | 1 | 33.3 | 33.3 | 1.03 | 33.3330% | 0.818660 | 0.888889 |
| CONFIRM | 複勝 | blend | iso | exp | ev1.1 | 7 | 1 | 21.4 | 18.6 | 1.11 | 14.2860% | 0.769402 | 0.796703 |
| CONFIRM | 複勝 | blend | iso | exp | top1 | 6 | 0 | 0.0 | 0.0 | 1.10 | 0.0000% | 0.762664 | 0.801282 |
| CONFIRM | 複勝 | blend | iso | exp | top3 | 9 | 1 | 16.7 | 14.4 | 1.10 | 11.1110% | 0.758840 | 0.797721 |
| CONFIRM | 複勝 | blend | iso | exp | top5 | 9 | 1 | 16.7 | 14.4 | 1.10 | 11.1110% | 0.758840 | 0.797721 |
| CONFIRM | 複勝 | blend | iso | exp | top10 | 9 | 1 | 16.7 | 14.4 | 1.10 | 11.1110% | 0.758840 | 0.797721 |
| CONFIRM | 複勝 | blend | iso | exp | top20 | 9 | 1 | 16.7 | 14.4 | 1.10 | 11.1110% | 0.758840 | 0.797721 |
| CONFIRM | ワイド | model | raw | floor | ev1.2 | 18123 | 193 | 53.6 | 52.6 | 2.13 | 1.0650% | 0.030085 | 0.017129 |
| CONFIRM | ワイド | model | raw | floor | top1 | 673 | 4 | 22.5 | 22.2 | 4.13 | 0.5940% | 0.042000 | 0.015629 |
| CONFIRM | ワイド | model | raw | floor | top3 | 2018 | 25 | 59.7 | 58.4 | 3.55 | 1.2390% | 0.043305 | 0.018696 |
| CONFIRM | ワイド | model | raw | floor | top5 | 3342 | 39 | 50.0 | 48.9 | 3.24 | 1.1670% | 0.043879 | 0.020677 |
| CONFIRM | ワイド | model | raw | floor | top10 | 6541 | 80 | 52.1 | 51.1 | 2.79 | 1.2230% | 0.041728 | 0.021891 |
| CONFIRM | ワイド | model | raw | floor | top20 | 12137 | 167 | 54.3 | 52.9 | 2.35 | 1.3760% | 0.037962 | 0.022311 |
| CONFIRM | ワイド | model | raw | exp | ev1.2 | 18804 | 224 | 54.2 | 53.2 | 2.14 | 1.1910% | 0.031157 | 0.018353 |
| CONFIRM | ワイド | model | raw | exp | top1 | 674 | 6 | 24.0 | 23.6 | 4.19 | 0.8900% | 0.043094 | 0.016461 |
| CONFIRM | ワイド | model | raw | exp | top3 | 2020 | 27 | 60.1 | 58.8 | 3.60 | 1.3370% | 0.044727 | 0.019614 |
| CONFIRM | ワイド | model | raw | exp | top5 | 3351 | 43 | 50.9 | 49.7 | 3.29 | 1.2830% | 0.045221 | 0.021767 |
| CONFIRM | ワイド | model | raw | exp | top10 | 6577 | 87 | 50.4 | 49.4 | 2.83 | 1.3230% | 0.043303 | 0.023374 |
| CONFIRM | ワイド | model | raw | exp | top20 | 12282 | 189 | 54.9 | 53.5 | 2.38 | 1.5390% | 0.039623 | 0.024035 |
| CONFIRM | ワイド | model | iso | floor | ev1.2 | 17262 | 194 | 54.5 | 53.4 | 2.16 | 1.1240% | 0.031334 | 0.017743 |
| CONFIRM | ワイド | model | iso | floor | top1 | 673 | 4 | 22.5 | 22.2 | 4.20 | 0.5940% | 0.041213 | 0.015280 |
| CONFIRM | ワイド | model | iso | floor | top3 | 2014 | 22 | 58.3 | 57.1 | 3.61 | 1.0920% | 0.042864 | 0.018092 |
| CONFIRM | ワイド | model | iso | floor | top5 | 3339 | 33 | 45.3 | 44.3 | 3.28 | 0.9880% | 0.042785 | 0.019695 |
| CONFIRM | ワイド | model | iso | floor | top10 | 6538 | 80 | 51.2 | 50.1 | 2.81 | 1.2240% | 0.041997 | 0.021886 |
| CONFIRM | ワイド | model | iso | floor | top20 | 12125 | 171 | 57.2 | 55.8 | 2.35 | 1.4100% | 0.038853 | 0.022825 |
| CONFIRM | ワイド | model | iso | exp | ev1.2 | 17909 | 216 | 55.2 | 54.1 | 2.16 | 1.2060% | 0.032492 | 0.019057 |
| CONFIRM | ワイド | model | iso | exp | top1 | 673 | 4 | 22.5 | 22.2 | 4.26 | 0.5940% | 0.042355 | 0.015893 |
| CONFIRM | ワイド | model | iso | exp | top3 | 2018 | 23 | 58.8 | 57.5 | 3.66 | 1.1400% | 0.044324 | 0.019137 |
| CONFIRM | ワイド | model | iso | exp | top5 | 3350 | 34 | 45.4 | 44.4 | 3.33 | 1.0150% | 0.044143 | 0.020856 |
| CONFIRM | ワイド | model | iso | exp | top10 | 6577 | 89 | 50.1 | 49.0 | 2.85 | 1.3530% | 0.043436 | 0.023207 |
| CONFIRM | ワイド | model | iso | exp | top20 | 12271 | 193 | 58.0 | 56.6 | 2.38 | 1.5730% | 0.040319 | 0.024427 |
| CONFIRM | ワイド | blend | raw | floor | ev1.2 | 1222 | 35 | 92.7 | 89.9 | 1.38 | 2.8640% | 0.052991 | 0.039092 |
| CONFIRM | ワイド | blend | raw | floor | top1 | 646 | 41 | 134.6 | 131.0 | 1.32 | 6.3470% | 0.081558 | 0.066648 |
| CONFIRM | ワイド | blend | raw | floor | top3 | 1785 | 84 | 86.0 | 83.1 | 1.24 | 4.7060% | 0.072164 | 0.060963 |
| CONFIRM | ワイド | blend | raw | floor | top5 | 2647 | 120 | 82.8 | 80.1 | 1.21 | 4.5330% | 0.067736 | 0.058338 |
| CONFIRM | ワイド | blend | raw | floor | top10 | 3802 | 164 | 84.1 | 81.8 | 1.17 | 4.3140% | 0.062057 | 0.054444 |
| CONFIRM | ワイド | blend | raw | floor | top20 | 4224 | 175 | 81.9 | 79.6 | 1.17 | 4.1430% | 0.059496 | 0.052432 |
| CONFIRM | ワイド | blend | raw | exp | ev1.2 | 1531 | 51 | 89.1 | 86.6 | 1.38 | 3.3310% | 0.057601 | 0.044273 |
| CONFIRM | ワイド | blend | raw | exp | top1 | 668 | 43 | 123.0 | 119.6 | 1.35 | 6.4370% | 0.086474 | 0.071589 |
| CONFIRM | ワイド | blend | raw | exp | top3 | 1913 | 106 | 90.4 | 87.4 | 1.27 | 5.5410% | 0.077845 | 0.067352 |
| CONFIRM | ワイド | blend | raw | exp | top5 | 2952 | 152 | 82.8 | 80.1 | 1.23 | 5.1490% | 0.074041 | 0.065777 |
| CONFIRM | ワイド | blend | raw | exp | top10 | 4505 | 218 | 81.1 | 78.7 | 1.18 | 4.8390% | 0.067799 | 0.061720 |
| CONFIRM | ワイド | blend | raw | exp | top20 | 5168 | 235 | 80.4 | 77.9 | 1.17 | 4.5470% | 0.064241 | 0.058856 |
| CONFIRM | ワイド | blend | iso | floor | ev1.2 | 1457 | 31 | 77.7 | 75.6 | 1.38 | 2.1280% | 0.041475 | 0.030824 |
| CONFIRM | ワイド | blend | iso | floor | top1 | 640 | 26 | 163.6 | 159.7 | 1.34 | 4.0620% | 0.056607 | 0.045203 |
| CONFIRM | ワイド | blend | iso | floor | top3 | 1764 | 67 | 97.4 | 94.9 | 1.26 | 3.7980% | 0.054552 | 0.045514 |
| CONFIRM | ワイド | blend | iso | floor | top5 | 2653 | 86 | 81.7 | 79.7 | 1.23 | 3.2420% | 0.052158 | 0.044471 |
| CONFIRM | ワイド | blend | iso | floor | top10 | 3962 | 130 | 85.1 | 82.9 | 1.19 | 3.2810% | 0.048041 | 0.041860 |
| CONFIRM | ワイド | blend | iso | floor | top20 | 4684 | 145 | 80.5 | 78.4 | 1.17 | 3.0960% | 0.045326 | 0.039785 |
| CONFIRM | ワイド | blend | iso | exp | ev1.2 | 1767 | 49 | 81.5 | 79.3 | 1.38 | 2.7730% | 0.045702 | 0.035222 |
| CONFIRM | ワイド | blend | iso | exp | top1 | 659 | 34 | 166.4 | 161.9 | 1.37 | 5.1590% | 0.066597 | 0.054878 |
| CONFIRM | ワイド | blend | iso | exp | top3 | 1889 | 80 | 93.8 | 91.5 | 1.28 | 4.2350% | 0.062900 | 0.054477 |
| CONFIRM | ワイド | blend | iso | exp | top5 | 2909 | 115 | 82.0 | 79.9 | 1.24 | 3.9530% | 0.059556 | 0.052729 |
| CONFIRM | ワイド | blend | iso | exp | top10 | 4596 | 176 | 81.8 | 79.6 | 1.19 | 3.8290% | 0.054668 | 0.049657 |
| CONFIRM | ワイド | blend | iso | exp | top20 | 5613 | 198 | 76.0 | 73.9 | 1.17 | 3.5280% | 0.050849 | 0.046568 |
| CONFIRM | 三連複 | model | raw | floor | ev1.2 | 95087 | 73 | 35.6 | 36.3 | 2.76 | 0.0770% | 0.002768 | 0.001410 |
| CONFIRM | 三連複 | model | raw | floor | top1 | 674 | 0 | 0.0 | 0.0 | 8.56 | 0.0000% | 0.007867 | 0.002355 |
| CONFIRM | 三連複 | model | raw | floor | top3 | 2021 | 4 | 7.0 | 7.0 | 7.51 | 0.1980% | 0.008020 | 0.002878 |
| CONFIRM | 三連複 | model | raw | floor | top5 | 3361 | 6 | 7.5 | 7.5 | 6.90 | 0.1790% | 0.007497 | 0.002850 |
| CONFIRM | 三連複 | model | raw | floor | top10 | 6688 | 9 | 8.4 | 8.4 | 6.00 | 0.1350% | 0.006983 | 0.002883 |
| CONFIRM | 三連複 | model | raw | floor | top20 | 13123 | 20 | 31.4 | 31.4 | 5.13 | 0.1520% | 0.005999 | 0.002626 |
| CONFIRM | 三連複 | model | iso | floor | ev1.2 | 90068 | 68 | 37.7 | 38.5 | 2.81 | 0.0750% | 0.002778 | 0.001399 |
| CONFIRM | 三連複 | model | iso | floor | top1 | 671 | 0 | 0.0 | 0.0 | 8.74 | 0.0000% | 0.006627 | 0.001792 |
| CONFIRM | 三連複 | model | iso | floor | top3 | 2011 | 3 | 6.8 | 6.8 | 7.65 | 0.1490% | 0.006444 | 0.001971 |
| CONFIRM | 三連複 | model | iso | floor | top5 | 3348 | 5 | 75.8 | 75.8 | 7.00 | 0.1490% | 0.006150 | 0.002041 |
| CONFIRM | 三連複 | model | iso | floor | top10 | 6658 | 9 | 43.6 | 43.6 | 6.08 | 0.1350% | 0.005788 | 0.002128 |
| CONFIRM | 三連複 | model | iso | floor | top20 | 13083 | 17 | 33.2 | 33.2 | 5.17 | 0.1300% | 0.005237 | 0.002127 |
| CONFIRM | 三連複 | blend | raw | floor | ev1.2 | 13755 | 34 | 74.6 | 74.6 | 1.53 | 0.2470% | 0.005688 | 0.003870 |
| CONFIRM | 三連複 | blend | raw | floor | top1 | 674 | 6 | 64.5 | 64.5 | 1.84 | 0.8900% | 0.014417 | 0.009681 |
| CONFIRM | 三連複 | blend | raw | floor | top3 | 2003 | 11 | 29.7 | 29.7 | 1.72 | 0.5490% | 0.013089 | 0.009038 |
| CONFIRM | 三連複 | blend | raw | floor | top5 | 3305 | 19 | 47.3 | 47.3 | 1.65 | 0.5750% | 0.011974 | 0.008427 |
| CONFIRM | 三連複 | blend | raw | floor | top10 | 6422 | 33 | 47.6 | 47.6 | 1.54 | 0.5140% | 0.010222 | 0.007471 |
| CONFIRM | 三連複 | blend | raw | floor | top20 | 11863 | 56 | 72.6 | 72.6 | 1.44 | 0.4720% | 0.008575 | 0.006547 |
| CONFIRM | 三連複 | blend | iso | floor | ev1.2 | 18081 | 31 | 56.4 | 56.4 | 1.55 | 0.1710% | 0.003894 | 0.002637 |
| CONFIRM | 三連複 | blend | iso | floor | top1 | 664 | 1 | 2.5 | 2.5 | 1.95 | 0.1510% | 0.008977 | 0.005574 |
| CONFIRM | 三連複 | blend | iso | floor | top3 | 1980 | 6 | 23.1 | 23.1 | 1.81 | 0.3030% | 0.008423 | 0.005442 |
| CONFIRM | 三連複 | blend | iso | floor | top5 | 3279 | 11 | 30.0 | 30.0 | 1.72 | 0.3350% | 0.008248 | 0.005586 |
| CONFIRM | 三連複 | blend | iso | floor | top10 | 6401 | 23 | 33.4 | 33.4 | 1.61 | 0.3590% | 0.007454 | 0.005330 |
| CONFIRM | 三連複 | blend | iso | floor | top20 | 11927 | 38 | 39.7 | 39.7 | 1.50 | 0.3190% | 0.006475 | 0.004847 |
| CONFIRM | 馬連 | model | raw | floor | ev1.2 | 26695 | 86 | 60.4 | 60.6 | 2.56 | 0.3220% | 0.009343 | 0.004783 |
| CONFIRM | 馬連 | model | raw | floor | top1 | 674 | 0 | 0.0 | 0.0 | 6.23 | 0.0000% | 0.013655 | 0.003631 |
| CONFIRM | 馬連 | model | raw | floor | top3 | 2022 | 3 | 71.4 | 71.4 | 5.30 | 0.1480% | 0.013507 | 0.004115 |
| CONFIRM | 馬連 | model | raw | floor | top5 | 3366 | 11 | 109.1 | 109.1 | 4.79 | 0.3270% | 0.013660 | 0.004753 |
| CONFIRM | 馬連 | model | raw | floor | top10 | 6668 | 20 | 75.8 | 75.8 | 4.05 | 0.3000% | 0.013188 | 0.005287 |
| CONFIRM | 馬連 | model | raw | floor | top20 | 12898 | 43 | 61.2 | 61.2 | 3.30 | 0.3330% | 0.012004 | 0.005675 |
| CONFIRM | 馬連 | model | iso | floor | ev1.2 | 21860 | 89 | 64.6 | 64.9 | 2.48 | 0.4070% | 0.011413 | 0.005974 |
| CONFIRM | 馬連 | model | iso | floor | top1 | 674 | 0 | 0.0 | 0.0 | 5.83 | 0.0000% | 0.015784 | 0.004324 |
| CONFIRM | 馬連 | model | iso | floor | top3 | 2022 | 3 | 71.4 | 71.4 | 4.93 | 0.1480% | 0.016105 | 0.005070 |
| CONFIRM | 馬連 | model | iso | floor | top5 | 3366 | 9 | 59.6 | 59.6 | 4.44 | 0.2670% | 0.015642 | 0.005484 |
| CONFIRM | 馬連 | model | iso | floor | top10 | 6667 | 26 | 86.2 | 86.2 | 3.71 | 0.3900% | 0.015302 | 0.006404 |
| CONFIRM | 馬連 | model | iso | floor | top20 | 12772 | 53 | 70.0 | 70.5 | 2.98 | 0.4150% | 0.014104 | 0.007013 |
| CONFIRM | 馬連 | blend | raw | floor | ev1.2 | 7372 | 44 | 61.5 | 61.5 | 1.52 | 0.5970% | 0.012258 | 0.008313 |
| CONFIRM | 馬連 | blend | raw | floor | top1 | 674 | 6 | 68.1 | 68.1 | 1.78 | 0.8900% | 0.018262 | 0.012163 |
| CONFIRM | 馬連 | blend | raw | floor | top3 | 2001 | 16 | 63.8 | 63.8 | 1.65 | 0.8000% | 0.016215 | 0.011021 |
| CONFIRM | 馬連 | blend | raw | floor | top5 | 3304 | 24 | 63.6 | 63.6 | 1.56 | 0.7260% | 0.015697 | 0.011014 |
| CONFIRM | 馬連 | blend | raw | floor | top10 | 6371 | 47 | 82.9 | 82.9 | 1.45 | 0.7380% | 0.014733 | 0.010954 |
| CONFIRM | 馬連 | blend | raw | floor | top20 | 10700 | 75 | 78.4 | 78.4 | 1.35 | 0.7010% | 0.013690 | 0.010695 |
| CONFIRM | 馬連 | blend | iso | floor | ev1.2 | 4744 | 36 | 57.4 | 57.4 | 1.51 | 0.7590% | 0.014772 | 0.009967 |
| CONFIRM | 馬連 | blend | iso | floor | top1 | 670 | 10 | 83.8 | 83.8 | 1.66 | 1.4930% | 0.020320 | 0.013366 |
| CONFIRM | 馬連 | blend | iso | floor | top3 | 1981 | 17 | 61.0 | 61.0 | 1.52 | 0.8580% | 0.019452 | 0.013782 |
| CONFIRM | 馬連 | blend | iso | floor | top5 | 3231 | 27 | 68.4 | 68.4 | 1.45 | 0.8360% | 0.018761 | 0.013889 |
| CONFIRM | 馬連 | blend | iso | floor | top10 | 5825 | 46 | 85.8 | 85.8 | 1.36 | 0.7900% | 0.017666 | 0.013785 |
| CONFIRM | 馬連 | blend | iso | floor | top20 | 8488 | 63 | 70.4 | 70.4 | 1.31 | 0.7420% | 0.016087 | 0.012879 |

### 合否
合格 0 / 139 組合せ

| ルール | VAL n / ROI | CONF n / ROI | 判定 |
|---|---|---|---|
| wide/blend/raw/exp/ev1.2 | 2679 / 87.2% | 1531 / 89.1% | 不合格 |
| wide/blend/raw/floor/ev1.2 | 2275 / 84.3% | 1222 / 92.7% | 不合格 |
| wide/blend/raw/floor/top20 | 6440 / 80.6% | 4224 / 81.9% | 不合格 |
| wide/blend/iso/floor/top20 | 7167 / 79.9% | 4684 / 80.5% | 不合格 |
| wide/blend/raw/exp/top3 | 2484 / 79.1% | 1913 / 90.4% | 不合格 |
| wide/blend/raw/exp/top20 | 7635 / 78.8% | 5168 / 80.4% | 不合格 |
| wide/blend/raw/floor/top5 | 3550 / 78.5% | 2647 / 82.8% | 不合格 |
| wide/blend/iso/floor/top10 | 5641 / 78.5% | 3962 / 85.1% | 不合格 |

### ケリー（EV>=1の点を全部・1レースあたりの資金比率合計）
- VALIDATE/wide : 平均 0.067 / 90%点 0.149 (n=856R)
- VALIDATE/trio : 平均 0.050 / 90%点 0.111 (n=862R)
- VALIDATE/umaren : 平均 0.051 / 90%点 0.141 (n=869R)
- VALIDATE/fuku : 平均 0.258 / 90%点 0.303 (n=6R)
- CONFIRM/wide : 平均 0.059 / 90%点 0.115 (n=659R)
- CONFIRM/trio : 平均 0.044 / 90%点 0.091 (n=664R)
- CONFIRM/umaren : 平均 0.045 / 90%点 0.110 (n=670R)
- CONFIRM/fuku : 平均 0.330 / 90%点 0.526 (n=6R)


######## v8place ########
races=6890 / α推定=6723(8頭以上) / 5-7頭=167

### α_place fold表
| fold | 分割 | 学習R | α(実複勝オッズ) | α(単勝Harville) | α(両方入り) |
|---|---|---:|---|---|---|
| 202404 | MINE | 318 | +0.0776 (0.0762, z+1.02) | +0.0668 (0.0747, z+0.89) | +0.0604 (0.0768, z+0.79) |
| 202407 | MINE | 469 | +0.0575 (0.0604, z+0.95) | +0.0508 (0.0590, z+0.86) | +0.0340 (0.0604, z+0.56) |
| 202408 | MINE | 629 | -0.0209 (0.0506, z-0.41) | -0.0111 (0.0491, z-0.23) | -0.0408 (0.0509, z-0.80) |
| 202409 | MINE | 877 | -0.0265 (0.0446, z-0.59) | +0.0077 (0.0421, z+0.18) | -0.0414 (0.0446, z-0.93) |
| 202410 | MINE | 1077 | -0.0047 (0.0409, z-0.11) | +0.0295 (0.0387, z+0.76) | -0.0219 (0.0409, z-0.54) |
| 202411 | MINE | 1300 | +0.0016 (0.0364, z+0.05) | +0.0259 (0.0345, z+0.75) | -0.0215 (0.0364, z-0.59) |
| 202412 | MINE | 1542 | -0.0058 (0.0332, z-0.18) | +0.0163 (0.0315, z+0.52) | -0.0291 (0.0332, z-0.88) |
| 202501 | MINE | 1748 | +0.0012 (0.0313, z+0.04) | +0.0257 (0.0295, z+0.87) | -0.0242 (0.0312, z-0.77) |
| 202502 | MINE | 1954 | +0.0139 (0.0296, z+0.47) | +0.0351 (0.0280, z+1.25) | -0.0134 (0.0296, z-0.45) |
| 202503 | MINE | 2207 | +0.0022 (0.0282, z+0.08) | +0.0239 (0.0267, z+0.89) | -0.0262 (0.0282, z-0.93) |
| 202504 | MINE | 2533 | +0.0012 (0.0262, z+0.05) | +0.0187 (0.0249, z+0.75) | -0.0330 (0.0262, z-1.26) |
| 202505 | MINE | 2784 | +0.0012 (0.0249, z+0.05) | +0.0140 (0.0237, z+0.59) | -0.0368 (0.0250, z-1.47) |
| 202506 | MINE | 3074 | +0.0010 (0.0238, z+0.04) | +0.0114 (0.0226, z+0.50) | -0.0382 (0.0239, z-1.60) |
| 202507 | MINE | 3320 | +0.0097 (0.0231, z+0.42) | +0.0206 (0.0220, z+0.94) | -0.0297 (0.0232, z-1.28) |
| 202508 | MINE | 3560 | +0.0120 (0.0224, z+0.54) | +0.0237 (0.0213, z+1.11) | -0.0272 (0.0225, z-1.21) |
| 202509 | MINE | 3854 | +0.0148 (0.0216, z+0.68) | +0.0271 (0.0206, z+1.32) | -0.0250 (0.0217, z-1.15) |
| 202510 | MINE | 4041 | +0.0175 (0.0212, z+0.83) | +0.0292 (0.0201, z+1.45) | -0.0232 (0.0213, z-1.09) |
| 202511 | MINE | 4244 | +0.0153 (0.0207, z+0.74) | +0.0282 (0.0196, z+1.43) | -0.0257 (0.0208, z-1.24) |
| 202512 | MINE | 4495 | +0.0144 (0.0201, z+0.71) | +0.0265 (0.0191, z+1.39) | -0.0273 (0.0203, z-1.35) |
| 202601 | MINE | 4713 | +0.0177 (0.0197, z+0.90) | +0.0275 (0.0187, z+1.47) | -0.0250 (0.0198, z-1.26) |
| 202602 | MINE | 4950 | +0.0247 (0.0192, z+1.29) | +0.0326 (0.0182, z+1.79) | -0.0192 (0.0193, z-1.00) |
| 202603 | VALIDATE | 5200 | +0.0230 (0.0186, z+1.23) | +0.0319 (0.0177, z+1.80) | -0.0213 (0.0188, z-1.14) |
| 202604 | VALIDATE | 5487 | +0.0327 (0.0182, z+1.79) | +0.0372 (0.0174, z+2.13) | -0.0149 (0.0184, z-0.81) |
| 202605 | VALIDATE | 5739 | +0.0309 (0.0179, z+1.73) | +0.0356 (0.0171, z+2.08) | -0.0174 (0.0181, z-0.96) |
| 202606 | CONFIRM | 6060 | +0.0393 (0.0174, z+2.26) | +0.0419 (0.0167, z+2.52) | -0.0103 (0.0176, z-0.58) |
| 202607 | CONFIRM | 6286 | +0.0371 (0.0172, z+2.16) | +0.0395 (0.0164, z+2.41) | -0.0127 (0.0173, z-0.73) |
| 202608 | CONFIRM | 6541 | +0.0359 (0.0168, z+2.13) | +0.0379 (0.0161, z+2.35) | -0.0148 (0.0170, z-0.87) |
- 実複勝オッズ: α>0 23/27 fold・最長連続20・最終fold +0.0359
- 単勝Harville: α>0 26/27 fold・最長連続24・最終fold +0.0379
- 両市場入り: α>0 2/27 fold・最長連続2・最終fold -0.0148
- ヌル検査(202608): 実データ +0.0359 / ヌル8本 平均-0.0046 最大+0.0036 / 実データ以上 0/8

### OOS対数損失(1頭あたり)
| 分割 | 市場側 | 頭数 | 市場のみ | +モデル | 改善 |
|---|---|---:|---|---|---|
| MINE | 実複勝 | 68842 | 0.403184 | 0.403211 | -0.000027 |
| MINE | Harville | 68842 | 0.400622 | 0.400629 | -0.000007 |
| VALIDATE | 実複勝 | 12267 | 0.388781 | 0.388643 | +0.000138 |
| VALIDATE | Harville | 12267 | 0.385261 | 0.385133 | +0.000128 |
| CONFIRM | 実複勝 | 9065 | 0.417047 | 0.417000 | +0.000047 |
| CONFIRM | Harville | 9065 | 0.413823 | 0.413775 | +0.000047 |

### 控除率（実オッズ実測）
| 券種 | Σ(1/odds) | 実測控除率 | EV=1に必要なエッジ |
|---|---:|---:|---:|
| 複勝 | 4.4695 | 32.9% | ×1.490 |
| ワイド | 4.1018 | 26.9% | ×1.367 |
| 三連複 | 1.3336 | 25.0% | ×1.334 |
| 馬連 | 1.2944 | 22.7% | ×1.294 |

下限→実払戻の平均倍率(MINE期・的中組): 複勝 ×1.186 (n=14929) / ワイド ×1.049 (n=15068)

### 券種別 成績（全ルール）
| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | 複勝 | model | raw | floor | ev1.1 | 13805 | 707 | 58.8 | 47.4 | 1.74 | 5.1210% | 0.145983 | 0.096775 |
| MINE | 複勝 | model | raw | floor | ev1.2 | 11396 | 502 | 58.4 | 47.2 | 1.86 | 4.4050% | 0.139956 | 0.085042 |
| MINE | 複勝 | model | raw | floor | ev1.3 | 9487 | 383 | 59.6 | 47.8 | 1.98 | 4.0370% | 0.136843 | 0.077080 |
| MINE | 複勝 | model | raw | floor | top1 | 4769 | 217 | 59.7 | 47.2 | 2.17 | 4.5500% | 0.151910 | 0.086569 |
| MINE | 複勝 | model | raw | floor | top3 | 12159 | 682 | 60.0 | 48.3 | 1.76 | 5.6090% | 0.152620 | 0.103094 |
| MINE | 複勝 | model | raw | floor | top5 | 15721 | 941 | 59.9 | 48.2 | 1.65 | 5.9860% | 0.152512 | 0.108893 |
| MINE | 複勝 | model | raw | floor | top10 | 16822 | 1029 | 59.9 | 48.2 | 1.61 | 6.1170% | 0.153059 | 0.111226 |
| MINE | 複勝 | model | raw | floor | top20 | 16824 | 1029 | 59.9 | 48.2 | 1.61 | 6.1160% | 0.153079 | 0.111249 |
| MINE | 複勝 | model | raw | exp | ev1.1 | 21573 | 1611 | 61.5 | 49.6 | 1.83 | 7.4680% | 0.160530 | 0.130450 |
| MINE | 複勝 | model | raw | exp | ev1.2 | 18151 | 1136 | 59.2 | 47.7 | 1.96 | 6.2590% | 0.152087 | 0.113573 |
| MINE | 複勝 | model | raw | exp | ev1.3 | 15501 | 851 | 59.0 | 47.4 | 2.08 | 5.4900% | 0.146960 | 0.102061 |
| MINE | 複勝 | model | raw | exp | top1 | 4980 | 251 | 59.6 | 47.2 | 2.65 | 5.0400% | 0.155194 | 0.093648 |
| MINE | 複勝 | model | raw | exp | top3 | 14148 | 1003 | 61.5 | 49.2 | 2.06 | 7.0890% | 0.163770 | 0.124488 |
| MINE | 複勝 | model | raw | exp | top5 | 20962 | 1715 | 62.4 | 50.0 | 1.83 | 8.1810% | 0.168100 | 0.140988 |
| MINE | 複勝 | model | raw | exp | top10 | 25756 | 2340 | 63.4 | 51.1 | 1.71 | 9.0850% | 0.172910 | 0.154006 |
| MINE | 複勝 | model | raw | exp | top20 | 25793 | 2348 | 63.5 | 51.2 | 1.70 | 9.1030% | 0.172938 | 0.154106 |
| MINE | 複勝 | model | iso | floor | ev1.1 | 13104 | 727 | 62.2 | 50.2 | 1.76 | 5.5480% | 0.156053 | 0.102728 |
| MINE | 複勝 | model | iso | floor | ev1.2 | 10904 | 531 | 62.1 | 50.2 | 1.89 | 4.8700% | 0.150518 | 0.091156 |
| MINE | 複勝 | model | iso | floor | ev1.3 | 9079 | 395 | 61.7 | 49.5 | 2.01 | 4.3510% | 0.146467 | 0.081916 |
| MINE | 複勝 | model | iso | floor | top1 | 4766 | 221 | 59.8 | 46.7 | 2.19 | 4.6370% | 0.159629 | 0.090581 |
| MINE | 複勝 | model | iso | floor | top3 | 11984 | 742 | 64.5 | 51.7 | 1.77 | 6.1920% | 0.163797 | 0.111273 |
| MINE | 複勝 | model | iso | floor | top5 | 15249 | 1021 | 64.2 | 51.6 | 1.66 | 6.6960% | 0.164999 | 0.118438 |
| MINE | 複勝 | model | iso | floor | top10 | 16087 | 1092 | 63.8 | 51.3 | 1.63 | 6.7880% | 0.165169 | 0.120167 |
| MINE | 複勝 | model | iso | floor | top20 | 16087 | 1092 | 63.8 | 51.3 | 1.63 | 6.7880% | 0.165169 | 0.120167 |
| MINE | 複勝 | model | iso | exp | ev1.1 | 20461 | 1647 | 64.6 | 51.9 | 1.85 | 8.0490% | 0.171461 | 0.138707 |
| MINE | 複勝 | model | iso | exp | ev1.2 | 17244 | 1173 | 63.3 | 51.0 | 1.99 | 6.8020% | 0.162626 | 0.120899 |
| MINE | 複勝 | model | iso | exp | ev1.3 | 14740 | 885 | 63.0 | 50.8 | 2.11 | 6.0040% | 0.157536 | 0.108951 |
