| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | ワイド | model | raw | exp | ev1.2 | 177547 | 1637 | 52.6 | 51.7 | 2.34 | 0.9220% | 0.027494 | 0.015325 |
| MINE | ワイド | model | raw | exp | top1 | 5012 | 52 | 86.4 | 84.6 | 5.23 | 1.0380% | 0.038840 | 0.012447 |
| MINE | ワイド | model | raw | exp | top3 | 15014 | 142 | 66.3 | 64.8 | 4.50 | 0.9460% | 0.038707 | 0.014225 |
| MINE | ワイド | model | raw | exp | top5 | 24956 | 248 | 56.7 | 55.5 | 4.08 | 0.9940% | 0.038279 | 0.015485 |
| MINE | ワイド | model | raw | exp | top10 | 49237 | 503 | 52.4 | 51.2 | 3.47 | 1.0220% | 0.036546 | 0.016890 |
| MINE | ワイド | model | raw | exp | top20 | 94240 | 1007 | 53.9 | 52.7 | 2.87 | 1.0690% | 0.034065 | 0.018089 |
| MINE | ワイド | model | iso | floor | ev1.2 | 164550 | 1491 | 55.0 | 53.9 | 2.35 | 0.9060% | 0.027869 | 0.014959 |
| MINE | ワイド | model | iso | floor | top1 | 5008 | 42 | 79.1 | 77.1 | 5.25 | 0.8390% | 0.037339 | 0.011275 |
| MINE | ワイド | model | iso | floor | top3 | 14997 | 130 | 66.2 | 64.9 | 4.50 | 0.8670% | 0.037488 | 0.013128 |
| MINE | ワイド | model | iso | floor | top5 | 24901 | 220 | 56.5 | 55.4 | 4.08 | 0.8830% | 0.037005 | 0.014206 |
| MINE | ワイド | model | iso | floor | top10 | 49025 | 466 | 53.8 | 52.6 | 3.45 | 0.9510% | 0.035740 | 0.015777 |
| MINE | ワイド | model | iso | floor | top20 | 93458 | 957 | 53.2 | 51.9 | 2.83 | 1.0240% | 0.033598 | 0.017168 |
| MINE | ワイド | model | iso | exp | ev1.2 | 169432 | 1643 | 55.0 | 53.8 | 2.36 | 0.9700% | 0.028745 | 0.015959 |
| MINE | ワイド | model | iso | exp | top1 | 5010 | 44 | 79.6 | 77.6 | 5.32 | 0.8780% | 0.038143 | 0.011721 |
| MINE | ワイド | model | iso | exp | top3 | 15008 | 133 | 66.3 | 64.9 | 4.56 | 0.8860% | 0.038191 | 0.013578 |
| MINE | ワイド | model | iso | exp | top5 | 24936 | 232 | 57.4 | 56.2 | 4.13 | 0.9300% | 0.037841 | 0.014817 |
| MINE | ワイド | model | iso | exp | top10 | 49223 | 500 | 52.8 | 51.6 | 3.50 | 1.0160% | 0.036830 | 0.016758 |
| MINE | ワイド | model | iso | exp | top20 | 94159 | 1031 | 53.3 | 52.1 | 2.87 | 1.0950% | 0.034780 | 0.018357 |
| MINE | ワイド | blend | raw | floor | ev1.2 | 10735 | 255 | 62.2 | 60.5 | 1.40 | 2.3750% | 0.047724 | 0.035136 |
| MINE | ワイド | blend | raw | floor | top1 | 4789 | 196 | 66.2 | 63.7 | 1.35 | 4.0930% | 0.071394 | 0.057656 |
| MINE | ワイド | blend | raw | floor | top3 | 13314 | 531 | 71.2 | 68.9 | 1.26 | 3.9880% | 0.065686 | 0.055102 |
| MINE | ワイド | blend | raw | floor | top5 | 19944 | 803 | 74.5 | 72.2 | 1.23 | 4.0260% | 0.062502 | 0.053490 |
| MINE | ワイド | blend | raw | floor | top10 | 29146 | 1093 | 73.2 | 70.9 | 1.19 | 3.7500% | 0.057583 | 0.050170 |
| MINE | ワイド | blend | raw | floor | top20 | 34152 | 1207 | 71.4 | 69.3 | 1.18 | 3.5340% | 0.054327 | 0.047614 |
| MINE | ワイド | blend | raw | exp | ev1.2 | 13176 | 378 | 64.3 | 62.6 | 1.40 | 2.8690% | 0.052856 | 0.040546 |
